category_path,cat_leaf,cat_depth,cat_l1,cat_l2,cat_l3,cat_l4,cat_l5,cat_l6,cat_l7,category_key
Electronics|HomeAudio|Speakers|BluetoothSpeakers|BluetoothSpeakers,BluetoothSpeakers,5,Electronics,HomeAudio,Speakers,BluetoothSpeakers,,,,113
Health&PersonalCare|HomeMedicalSupplies&Equipment|HealthMonitors|WeighingScales|DigitalBathroomScales|DigitalBathroomScales,DigitalBathroomScales,6,Health&PersonalCare,HomeMedicalSupplies&Equipment,HealthMonitors,WeighingScales,DigitalBathroomScales,,,114
Electronics|Accessories|MemoryCards|MicroSD|MicroSD,MicroSD,5,Electronics,Accessories,MemoryCards,MicroSD,,,,115
"Electronics|Headphones,Earbuds&Accessories|Cases|Cases",Cases,4,Electronics,"Headphones,Earbuds&Accessories",Cases,,,,,116
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|VacuumAccessories|VacuumBags|HandheldBags|HandheldBags",HandheldBags,8,Home&Kitchen,Kitchen&HomeAppliances,"Vacuum,Cleaning&Ironing",Vacuums&FloorCare,VacuumAccessories,VacuumBags,HandheldBags,117
Computers&Accessories|Components|InternalSolidStateDrives|InternalSolidStateDrives,InternalSolidStateDrives,4,Computers&Accessories,Components,InternalSolidStateDrives,,,,,118
Computers&Accessories|Accessories&Peripherals|USBHubs|USBHubs,USBHubs,4,Computers&Accessories,Accessories&Peripherals,USBHubs,,,,,119
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|EggBoilers|EggBoilers,EggBoilers,5,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,EggBoilers,,,,120
Electronics|Mobiles&Accessories|MobileAccessories|Stands|Stands,Stands,5,Electronics,Mobiles&Accessories,MobileAccessories,Stands,,,,121
Electronics|Mobiles&Accessories|MobileAccessories|Mounts|Shower&WallMounts|Shower&WallMounts,Shower&WallMounts,6,Electronics,Mobiles&Accessories,MobileAccessories,Mounts,Shower&WallMounts,,,122
Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pens|Pens,Pens,6,Home&Kitchen,CraftMaterials,DrawingMaterials,DrawingMedia,Pens,,,123
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|GelInkRollerballPens|GelInkRollerballPens",GelInkRollerballPens,8,OfficeProducts,OfficePaperProducts,Paper,Stationery,"Pens,Pencils&WritingSupplies",Pens&Refills,GelInkRollerballPens,124
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|TonerCartridges|TonerCartridges",TonerCartridges,5,Computers&Accessories,"Printers,Inks&Accessories","Inks,Toners&Cartridges",TonerCartridges,,,,125
Electronics|HomeAudio|Speakers|MultimediaSpeakerSystems|MultimediaSpeakerSystems,MultimediaSpeakerSystems,5,Electronics,HomeAudio,Speakers,MultimediaSpeakerSystems,,,,126
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkCartridges|InkjetInkCartridges",InkjetInkCartridges,5,Computers&Accessories,"Printers,Inks&Accessories","Inks,Toners&Cartridges",InkjetInkCartridges,,,,127
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|OvenToasterGrills|OvenToasterGrills,OvenToasterGrills,5,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,OvenToasterGrills,,,,128
Electronics|Cameras&Photography|Accessories|Tripods&Monopods|Tabletop&TravelTripods|Tabletop&TravelTripods,Tabletop&TravelTripods,6,Electronics,Cameras&Photography,Accessories,Tripods&Monopods,Tabletop&TravelTripods,,,129
"Home&Kitchen|Heating,Cooling&AirQuality|Fans|PedestalFans|PedestalFans",PedestalFans,5,Home&Kitchen,"Heating,Cooling&AirQuality",Fans,PedestalFans,,,,130
"Computers&Accessories|Printers,Inks&Accessories|Inks,Toners&Cartridges|InkjetInkRefills&Kits|InkjetInkRefills&Kits",InkjetInkRefills&Kits,5,Computers&Accessories,"Printers,Inks&Accessories","Inks,Toners&Cartridges",InkjetInkRefills&Kits,,,,131
Electronics|Mobiles&Accessories|MobileAccessories|Cables&Adapters|OTGAdapters|OTGAdapters,OTGAdapters,6,Electronics,Mobiles&Accessories,MobileAccessories,Cables&Adapters,OTGAdapters,,,132
Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|SelfieSticks|SelfieSticks,SelfieSticks,6,Electronics,Mobiles&Accessories,MobileAccessories,Photo&VideoAccessories,SelfieSticks,,,133
Home&Kitchen|Kitchen&HomeAppliances|SmallKitchenAppliances|Juicers|ColdPressJuicers|ColdPressJuicers,ColdPressJuicers,6,Home&Kitchen,Kitchen&HomeAppliances,SmallKitchenAppliances,Juicers,ColdPressJuicers,,,134
HomeImprovement|Electrical|CordManagement|CordManagement,CordManagement,4,HomeImprovement,Electrical,CordManagement,,,,,135
Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks|PowerBanks,PowerBanks,6,Electronics,Mobiles&Accessories,MobileAccessories,Chargers,PowerBanks,,,136
"Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|MousePads|MousePads",MousePads,6,Computers&Accessories,Accessories&Peripherals,"Keyboards,Mice&InputDevices",Keyboard&MiceAccessories,MousePads,,,137
